vacancy_name,area_name,salary_from,salary_to,url,experience
Ассистент-аналитик,Новосибирск,35000,35000,https://hh.ru/vacancy/84701061,noExperience
Аналитик-координатор ПЭО,Санкт-Петербург,75000,,https://hh.ru/vacancy/85138471,between1And3
Менеджер по работе с маркетплейсами,Киров (Кировская область),45000,60000,https://hh.ru/vacancy/85237491,between1And3
Аналитик,Москва,115000,138000,https://hh.ru/vacancy/85043263,between1And3
Аналитик данных,Москва,91860,,https://hh.ru/vacancy/83262774,between1And3
Аналитик упоминаний в соцсетях,Омск,39000,,https://hh.ru/vacancy/80125734,noExperience
Аналитик в IT (стажер),Томск,16000,,https://hh.ru/vacancy/84786694,noExperience
Аналитик в онлайн-школу,Москва,60000,,https://hh.ru/vacancy/84362915,between3And6
Аналитик по продажам,Липецк,40000,,https://hh.ru/vacancy/85189575,between1And3
Специалист в контрольно-ревизионный отдел,Томск,40000,,https://hh.ru/vacancy/79493466,noExperience
Аналитик по программе лояльности в Альфа-Банк,Москва,120000,160000,https://hh.ru/vacancy/84949560,between1And3
Аналитик бизнес-процессов,Воронеж,60000,,https://hh.ru/vacancy/84018664,noExperience
Консультант 1С/Аналитик 1С,Москва,200000,250000,https://hh.ru/vacancy/85023322,between3And6
Аналитик (информационных систем),Москва,110000,110000,https://hh.ru/vacancy/84895100,between1And3
Аналитик,Владивосток,50000,55000,https://hh.ru/vacancy/83000890,noExperience
Portfolio Analyst,Москва,180000,250000,https://hh.ru/vacancy/84894114,between3And6
Аналитик данных Excel,Москва,80000,100000,https://hh.ru/vacancy/84551907,between1And3
Аналитик,Екатеринбург,90000,,https://hh.ru/vacancy/84571253,between1And3
Cистемный\Бизнес аналитик,Краснодар,,150000,https://hh.ru/vacancy/84960446,between1And3
Системный аналитик,Москва,100000,150000,https://hh.ru/vacancy/83931316,between1And3
Бизнес ассистент/аналитик (удаленно),Казань,30000,50000,https://hh.ru/vacancy/84240844,noExperience
Бизнес-аналитик/Специалист отдела внедрения amoCRM,Москва,35000,65000,https://hh.ru/vacancy/84293637,noExperience
Системный аналитик (мониторинг кредитной истории),Москва,,234000,https://hh.ru/vacancy/84766401,between1And3
Специалист по сопровождению партнерской базы,Москва,95200,,https://hh.ru/vacancy/84479895,between1And3
Системный аналитик (Junior),Москва,50000,70000,https://hh.ru/vacancy/84049778,between1And3
Аналитик,Рязань,61190,,https://hh.ru/vacancy/84523788,between1And3
Специалист отдела аналитики,Мытищи,45000,55000,https://hh.ru/vacancy/85063899,noExperience
Аналитик/Товарный аналитик,Новосибирск,70000,,https://hh.ru/vacancy/85117962,between1And3
Аналитик по дистрибуции,Нижний Новгород,89592,,https://hh.ru/vacancy/85424410,between1And3
Аналитик упоминаний в соцсетях,Новосибирск,39000,,https://hh.ru/vacancy/80125728,noExperience
Стажер-аналитик,Москва,20000,40000,https://hh.ru/vacancy/84532123,noExperience
Системный аналитик,Москва,195000,,https://hh.ru/vacancy/85413876,between1And3
Аналитик,Москва,65000,,https://hh.ru/vacancy/84838942,noExperience
Аналитик 1С,Москва,150000,220000,https://hh.ru/vacancy/79906907,between1And3
Аналитик (Правительство Москвы),Москва,60000,80000,https://hh.ru/vacancy/76431704,noExperience
Младший аналитик,Москва,75000,,https://hh.ru/vacancy/84360439,between1And3
Специалист контроля качества телефонных продаж/Аналитик телефонных переговоров,Санкт-Петербург,30000,70000,https://hh.ru/vacancy/85023876,between1And3
Аналитик,Брянск,24000,27000,https://hh.ru/vacancy/84351570,between1And3
Аналитик данных (EdTech),Санкт-Петербург,1500,2500,https://hh.ru/vacancy/84429772,between1And3
"Аналитик (SQL, Еxcel)",Москва,93000,,https://hh.ru/vacancy/84419153,between1And3
Ведущий специалист/аналитик,Москва,70000,120000,https://hh.ru/vacancy/84902587,noExperience
Маркетолог-аналитик,Москва,220000,,https://hh.ru/vacancy/83108870,between3And6
Специалист SEO в сфере недвижимости,Москва,,150000,https://hh.ru/vacancy/84321511,between1And3
Стажер-аналитик (SQL),Москва,45000,55000,https://hh.ru/vacancy/84691603,noExperience
Руководитель отдела аналитики и ценообразования,Санкт-Петербург,186400,216400,https://hh.ru/vacancy/85048964,between3And6
Аналитик,Нижний Новгород,,82000,https://hh.ru/vacancy/85430328,between1And3
Младший бизнес-аналитик,Санкт-Петербург,60000,,https://hh.ru/vacancy/82326048,between1And3
Аналитик,Казань,70000,100000,https://hh.ru/vacancy/83989870,noExperience
Маркетолог-аналитик данных,Санкт-Петербург,,100000,https://hh.ru/vacancy/85013178,between1And3
"Менеджер по работе с клиентами (не продажи, м.Южная)",Москва,70000,90000,https://hh.ru/vacancy/85191275,between1And3
Аналитик упоминаний в соцсетях,Тюмень,39000,,https://hh.ru/vacancy/82145241,noExperience
